stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_street,stop_city,stop_region,stop_postcode
1438,PINETTI 2/PORTAZZA,,44.420506,8.972236,,,Via Piero Pinetti,Genoa,Regione Liguria,16100
1439,MERLO/CAPRIOLO,,44.419918,8.966931,,,Largo Augusto Merlo,Genoa,Regione Liguria,16100
1440,BIANCHI 1/PERINI,,44.421337,8.882008,,,Via Renata Bianchi,Genoa,Regione Liguria,16100
1441,BRIGNOLE FS/CAPOLINEA,,44.406353,8.946497,,,Piazza Giuseppe Verdi,Genoa,Regione Liguria,16100
1442,MARTINEZ/PENDOLA,,44.406776,8.957527,,,Piazza Giovanni Martinez,Genoa,Regione Liguria,16100
1443,D'ALBERTIS 2/BOZZANO,,44.410671,8.958417,,,Via Contubernio Giovan Battista d'Albertis,Genoa,Regione Liguria,16100
1444,MARCHINI 1/SOLARI,,44.412834,8.958205,,,Via Ettore Marchini,Genoa,Regione Liguria,16100
1445,AMARENA 1/VICO DELL'ORSO,,44.413517,8.957904,,,Via Giovanni Amarena,Genoa,Regione Liguria,16100
1446,AMARENA 3/,,44.413799,8.958352,,,Via Giovanni Amarena,Genoa,Regione Liguria,16100
1447,AMARENA/CAPOLINEA,,44.413589,8.960386,,,Via Giovanni Amarena,Genoa,Regione Liguria,16100
1448,AMARENA 2/,,44.413635,8.958590,,,Via Giovanni Amarena,Genoa,Regione Liguria,16100
1449,AMARENA 3/VICO DELL'ORSO,,44.413570,8.957953,,,Via Giovanni Amarena,Genoa,Regione Liguria,16100
1451,D'ALBERTIS/BOZZANO,,44.409992,8.958123,,,Via Contubernio Giovan Battista d'Albertis,Genoa,Regione Liguria,16100
